Tile,Source Number,APT_g,APT_error_g,m_g,m_g_error,M_g,M_g_error,APT_i,APT_error_i,m_i,m_i_error,M_i,M_i_error,,,,,
3,51,-5.7064,0.0652,19.29205,,11.50451399,,-6.5926,0.0424,18.39585,,10.60831399,,,,,,
3,52,-7.3516,0.0199,17.64685,,9.85931399,,-8.2197,0.0133,16.76875,,8.98121399,,,,,,
3,53,-7.6063,0.0171,17.39215,,9.60461399,,-7.4297,0.0228,17.55875,,9.77121399,,,,,,
3,54,-5.3716,0.0862,19.62685,,11.83931399,,-4.8331,0.1351,20.15535,,12.36781399,,,,,,
3,55,-5.4506,0.0804,19.54785,,11.76031399,,-5.024,0.1598,19.96445,,12.17691399,,,,,,
3,56,-5.5085,0.0765,19.48995,,11.70241399,,-5.7351,0.0865,19.25335,,11.46581399,,,,,,
3,57,-5.5965,0.098,19.40195,,11.61441399,,-5.8001,0.082,19.18835,,11.40081399,,,,,,
3,58,-9.246,0.0073,15.75245,,7.96491399,,-9.1305,0.0077,15.85795,,8.07041399,,,,,,
3,59,-5.8836,0.0761,19.11485,,11.32731399,,-5.2782,0.1289,19.71025,,11.92271399,,,,,,
3,60,-5.04,0.1136,19.95845,,12.17091399,,-5.0612,0.1552,19.92725,,12.13971399,,,,,,
3,61,-7.2098,0.0266,17.78865,,10.00111399,,-7.8524,0.0147,17.13605,,9.34851399,,,,,,
3,62,-6.3385,0.0405,18.65995,,10.87241399,,-6.6205,0.0417,18.36795,,10.58041399,,,,,,
3,63,-4.9982,0.1643,20.00025,,12.21271399,,-5.7092,0.0651,19.27925,,11.49171399,,,,,,
3,64,-5.6917,0.0665,19.30675,,11.51921399,,-6.1899,0.0593,18.79855,,11.01101399,,,,,,
3,65,-7.2002,0.022,17.79825,,10.01071399,,-7.3839,0.0221,17.60455,,9.81701399,,,,,,
3,66,-5.4003,0.085,19.59815,,11.81061399,,-5.1759,0.1415,19.81255,,12.02501399,,,,,,
3,67,-6.6554,0.0403,18.34305,,10.55551399,,-6.7433,0.0302,18.24515,,10.45761399,,,,,,
3,68,-7.2785,0.0252,17.71995,,9.93241399,,-7.7102,0.0186,17.27825,,9.49071399,,,,,,
3,69,-13.6656,0.0009,11.33285,,3.54531399,,-13.2751,0.0011,11.71335,,3.92581399,,,,,,
3,70,-5.6498,0.0694,19.34865,,11.56111399,,-5.793,0.0834,19.19545,,11.40791399,,,,,,
3,71,-5.4073,0.084,19.59115,,11.80361399,,-5.5693,0.0998,19.41915,,11.63161399,,,,,,
3,72,-6.8438,0.0283,18.15465,,10.36711399,,-6.924,0.0331,18.06445,,10.27691399,,,,,,
3,73,-7.0123,0.031,17.98615,,10.19861399,,-7.2233,0.0265,17.76515,,9.97761399,,,,,,
3,74,-6.6076,0.0419,18.39085,,10.60331399,,-6.7783,0.037,18.21015,,10.42261399,,,,,,
3,75,-5.7531,0.0862,19.24535,,11.45781399,,-6.8417,0.0356,18.14675,,10.35921399,,,,,,
3,76,-6.4448,0.0482,18.55365,,10.76611399,,-6.2973,0.0548,18.69115,,10.90361399,,,,,,
3,77,-5.5789,0.0995,19.41955,,11.63201399,,-5.6904,0.0676,19.29805,,11.51051399,,,,,,
3,78,-8.3535,0.0123,16.64495,,8.85741399,,-8.4331,0.0117,16.55535,,8.76781399,,,,,,
3,79,-9.2951,0.0072,15.70335,,7.91581399,,-9.2799,0.0072,15.70855,,7.92101399,,,,,,
1,1,-9.0338,0.0172,16.94355,,9.15601399,,-9.5869,0.0133,15.26907,,7.48153399,,,,,,
1,2,-7.6618,0.0332,18.31555,,10.52801399,,-8.5874,0.0216,16.26857,,8.48103399,,,,,,
1,3,-3.9537,0.3356,22.02365,,14.23611399,,-4.9759,0.1621,19.88007,,12.09253399,,,,,,
1,4,-11.0828,0.0066,14.89455,,7.10701399,,-11.1993,0.0063,13.65667,,5.86913399,,,,,,
1,5,-4.6471,0.1985,21.33025,,13.54271399,,-6.1569,0.0754,18.69907,,10.91153399,,,,,,
1,6,-5.0771,0.1471,20.90025,,13.11271399,,-5.9774,0.0835,18.87857,,11.09103399,,,,,,
1,7,-6.2778,0.069,19.69955,,11.91201399,,-6.9794,0.0508,17.87657,,10.08903399,,,,,,
1,8,-5.471,0.113,20.50635,,12.71881399,,-6.1447,0.0847,18.71127,,10.92373399,,,,,,
1,9,-5.2966,0.1257,20.68075,,12.89321399,,-6.5298,0.0665,18.32617,,10.53863399,,,,,,
1,10,-5.2961,0.1263,20.68125,,12.89371399,,-6.0975,0.088,18.75847,,10.97093399,,,,,,
1,11,-6.8729,0.0542,19.10445,,11.31691399,,-7.4618,0.039,17.39417,,9.60663399,,,,,,
1,12,-4.9613,0.1578,21.01605,,13.22851399,,-7.0374,0.0487,17.81857,,10.03103399,,,,,,
1,13,-5.7768,0.1095,20.20055,,12.41301399,,-7.5928,0.0363,17.26317,,9.47563399,,,,,,
1,14,-4.9166,0.1622,21.06075,,13.27321399,,-6.6824,0.0586,18.17357,,10.38603399,,,,,,
1,15,-4.5799,0.2065,21.39745,,13.60991399,,-5.5941,0.1236,19.26187,,11.47433399,,,,,,
1,16,-9.1443,0.0163,16.83305,,9.04551399,,-9.5102,0.0138,15.34577,,7.55823399,,,,,,
1,17,-8.4916,0.0222,17.48575,,9.69821399,,-9.5516,0.0136,15.30437,,7.51683399,,,,,,
1,18,-5.8424,0.0888,20.13495,,12.34741399,,-6.5241,0.0668,18.33187,,10.54433399,,,,,,
1,19,-7.2788,0.0403,18.69855,,10.91101399,,-7.9475,0.0299,16.90847,,9.12093399,,,,,,
1,20,-5.7927,0.0916,20.18465,,12.39711399,,-6.2759,0.078,18.58007,,10.79253399,,,,,,
1,21,-8.1734,0.0258,17.80395,,10.01641399,,-9.2182,0.0159,15.63777,,7.85023399,,,,,,
1,22,-8.588,0.0216,17.38935,,9.60181399,,-9.2374,0.0158,15.61857,,7.83103399,,,,,,
1,23,-7.0078,0.0463,18.96955,,11.18201399,,-7.7127,0.0338,17.14327,,9.35573399,,,,,,
1,24,-8.3252,0.024,17.65215,,9.86461399,,-9.0454,0.0173,15.81057,,8.02303399,,,,,,
1,25,-8.7732,0.0194,17.20415,,9.41661399,,-10.068,0.0106,14.78797,,7.00043399,,,,,,
1,26,-5.4197,0.1156,20.55765,,12.77011399,,-6.7016,0.0597,18.15437,,10.36683399,,,,,,
1,27,-11.5775,0.0053,14.39985,,6.61231399,,-11.4874,0.0055,13.36857,,5.58103399,,,,,,
1,28,-5.1825,0.1355,20.79485,,13.00731399,,-7.3657,0.0408,17.49027,,9.70273399,,,,,,
1,29,-5.5373,0.108,20.44005,,12.65251399,,-6.4261,0.071,18.42987,,10.64233399,,,,,,
1,30,-8.0628,0.0273,17.91455,,10.12701399,,-8.7775,0.0197,16.07847,,8.29093399,,,,,,
1,31,-8.0471,0.0284,17.93025,,10.14271399,,-8.6111,0.0214,16.24487,,8.45733399,,,,,,
1,32,-6.3556,0.0658,19.62175,,11.83421399,,-7.0408,0.0489,17.81517,,10.02763399,,,,,,
1,33,-5.3515,0.1476,20.62585,,12.83831399,,-5.7622,0.1113,19.09377,,11.30623399,,,,,,
1,34,-5.1937,0.1342,20.78365,,12.99611399,,-5.5355,0.1293,19.32047,,11.53293399,,,,,,
1,35,-5.1796,0.1358,20.79775,,13.01021399,,-5.8914,0.0998,18.96457,,11.17703399,,,,,,
1,36,-5.3469,0.1225,20.63045,,12.84291399,,-5.7807,0.1098,19.07527,,11.28773399,,,,,,
1,37,-6.4774,0.0615,19.49995,,11.71241399,,-7.3113,0.0419,17.54467,,9.75713399,,,,,,
1,38,-12.4281,0.0036,13.54925,,5.76171399,,-12.4197,0.0036,12.43627,,4.64873399,,,,,,
1,39,-7.289,0.04,18.68835,,10.90081399,,-7.8255,0.0319,17.03047,,9.24293399,,,,,,
1,40,-11.3459,0.0059,14.63145,,6.84391399,,-11.5188,0.0054,13.33717,,5.54963399,,,,,,
1,41,-7.0151,0.0461,18.96225,,11.17471399,,-8.006,0.029,16.84997,,9.06243399,,,,,,
1,42,-6.904,0.0489,19.07335,,11.28581399,,-7.3538,0.041,17.50217,,9.71463399,,,,,,
1,43,-5.9697,0.0823,20.00765,,12.22011399,,-6.6349,0.0621,18.22107,,10.43353399,,,,,,
1,44,-6.6578,0.0558,19.31955,,11.53201399,,-8.4927,0.0227,16.36327,,8.57573399,,,,,,
1,45,-5.7795,0.1079,20.19785,,12.41031399,,-6.1673,0.0841,18.68867,,10.90113399,,,,,,
1,46,-5.2672,0.1279,20.71015,,12.92261399,,-6.1371,0.0846,18.71887,,10.93133399,,,,,,
1,47,-6.0049,0.0807,19.97245,,12.18491399,,-6.7784,0.0573,18.07757,,10.29003399,,,,,,
1,48,-5.2263,0.1319,20.75105,,12.96351399,,-5.9331,0.0981,18.92287,,11.13533399,,,,,,
1,49,-5.4241,0.1161,20.55325,,12.76571399,,-6.4836,0.0686,18.37237,,10.58483399,,,,,,
1,50,-9.4744,0.0139,16.50295,,8.71541399,,-9.8902,0.0116,14.96577,,7.17823399,,,,,,
1,51,-10.4778,0.0088,15.49955,,7.71201399,,-10.9535,0.007,13.90247,,6.11493399,,,,,,
