Tile,Source Number,APT_g,APT_error_g,m_g,m_g_error,M_g,M_g_error,APT_i,APT_error_i,m_i,m_i_error,M_i,M_i_error,g-i,,,,
3,62,-6.3385,0.0405,18.39509,,10.60755399,,-6.6205,0.0417,18.36795,,10.58041399,,0.02714,,,,
3,63,-4.9982,0.1643,19.73539,,11.94785399,,-5.7092,0.0651,19.27925,,11.49171399,,0.45614,,,,
3,64,-5.6917,0.0665,19.04189,,11.25435399,,-6.1899,0.0593,18.79855,,11.01101399,,0.24334,,,,
3,65,-7.2002,0.022,17.53339,,9.74585399,,-7.3839,0.0221,17.60455,,9.81701399,,-0.07116,,,,
3,66,-5.4003,0.085,19.33329,,11.54575399,,-5.1759,0.1415,19.81255,,12.02501399,,-0.47926,,,,
3,67,-6.6554,0.0403,18.07819,,10.29065399,,-6.7433,0.0302,18.24515,,10.45761399,,-0.16696,,,,
3,68,-7.2785,0.0252,17.45509,,9.66755399,,-7.7102,0.0186,17.27825,,9.49071399,,0.17684,,,,
3,69,-13.6656,0.0009,11.06799,,3.28045399,,-13.2751,0.0011,11.71335,,3.92581399,,-0.64536,,,,
3,70,-5.6498,0.0694,19.08379,,11.29625399,,-5.793,0.0834,19.19545,,11.40791399,,-0.11166,,,,
3,71,-5.4073,0.084,19.32629,,11.53875399,,-5.5693,0.0998,19.41915,,11.63161399,,-0.09286,,,,
3,72,-6.8438,0.0283,17.88979,,10.10225399,,-6.924,0.0331,18.06445,,10.27691399,,-0.17466,,,,
3,73,-7.0123,0.031,17.72129,,9.93375399,,-7.2233,0.0265,17.76515,,9.97761399,,-0.04386,,,,
3,74,-6.6076,0.0419,18.12599,,10.33845399,,-6.7783,0.037,18.21015,,10.42261399,,-0.08416,,,,
3,75,-5.7531,0.0862,18.98049,,11.19295399,,-6.8417,0.0356,18.14675,,10.35921399,,0.83374,,,,
3,76,-6.4448,0.0482,18.28879,,10.50125399,,-6.2973,0.0548,18.69115,,10.90361399,,-0.40236,,,,
3,77,-5.5789,0.0995,19.15469,,11.36715399,,-5.6904,0.0676,19.29805,,11.51051399,,-0.14336,,,,
3,78,-8.3535,0.0123,16.38009,,8.59255399,,-8.4331,0.0117,16.55535,,8.76781399,,-0.17526,,,,
3,79,-9.2951,0.0072,15.43849,,7.65095399,,-9.2799,0.0072,15.70855,,7.92101399,,-0.27006,,,,
1,1,-9.0338,0.0172,16.42545,,8.63791399,,-9.5869,0.0133,14.570855,,6.78331899,,1.854595,,,,
1,2,-7.6618,0.0332,17.79745,,10.00991399,,-8.5874,0.0216,16.26857,,8.48103399,,1.52888,,,,
1,3,-3.9537,0.3356,21.50555,,13.71801399,,-4.9759,0.1621,19.88007,,12.09253399,,1.62548,,,,
1,4,-11.0828,0.0066,14.37645,,6.58891399,,-11.1993,0.0063,13.65667,,5.86913399,,0.71978,,,,
1,5,-4.6471,0.1985,20.81215,,13.02461399,,-6.1569,0.0754,18.69907,,10.91153399,,2.11308,,,,
1,6,-5.0771,0.1471,20.38215,,12.59461399,,-5.9774,0.0835,18.87857,,11.09103399,,1.50358,,,,
1,7,-6.2778,0.069,19.18145,,11.39391399,,-6.9794,0.0508,17.87657,,10.08903399,,1.30488,,,,
1,8,-5.471,0.113,19.98825,,12.20071399,,-6.1447,0.0847,18.71127,,10.92373399,,1.27698,,,,
1,9,-5.2966,0.1257,20.16265,,12.37511399,,-6.5298,0.0665,18.32617,,10.53863399,,1.83648,,,,
1,10,-5.2961,0.1263,20.16315,,12.37561399,,-6.0975,0.088,18.75847,,10.97093399,,1.40468,,,,
1,11,-6.8729,0.0542,18.58635,,10.79881399,,-7.4618,0.039,17.39417,,9.60663399,,1.19218,,,,
1,12,-4.9613,0.1578,20.49795,,12.71041399,,-7.0374,0.0487,17.81857,,10.03103399,,2.67938,,,,
1,13,-5.7768,0.1095,19.68245,,11.89491399,,-7.5928,0.0363,17.26317,,9.47563399,,2.41928,,,,
1,14,-4.9166,0.1622,20.54265,,12.75511399,,-6.6824,0.0586,18.17357,,10.38603399,,2.36908,,,,
1,15,-4.5799,0.2065,20.87935,,13.09181399,,-5.5941,0.1236,19.26187,,11.47433399,,1.61748,,,,
1,16,-9.1443,0.0163,16.31495,,8.52741399,,-9.5102,0.0138,15.34577,,7.55823399,,0.96918,,,,
1,17,-8.4916,0.0222,16.96765,,9.18011399,,-9.5516,0.0136,15.30437,,7.51683399,,1.66328,,,,
1,18,-5.8424,0.0888,19.61685,,11.82931399,,-6.5241,0.0668,18.33187,,10.54433399,,1.28498,,,,
1,19,-7.2788,0.0403,18.18045,,10.39291399,,-7.9475,0.0299,16.90847,,9.12093399,,1.27198,,,,
1,20,-5.7927,0.0916,19.66655,,11.87901399,,-6.2759,0.078,18.58007,,10.79253399,,1.08648,,,,
1,21,-8.1734,0.0258,17.28585,,9.49831399,,-9.2182,0.0159,15.63777,,7.85023399,,1.64808,,,,
1,22,-8.588,0.0216,16.87125,,9.08371399,,-9.2374,0.0158,15.61857,,7.83103399,,1.25268,,,,
1,23,-7.0078,0.0463,18.45145,,10.66391399,,-7.7127,0.0338,17.14327,,9.35573399,,1.30818,,,,
1,24,-8.3252,0.024,17.13405,,9.34651399,,-9.0454,0.0173,15.81057,,8.02303399,,1.32348,,,,
1,25,-8.7732,0.0194,16.68605,,8.89851399,,-10.068,0.0106,14.78797,,7.00043399,,1.89808,,,,
1,26,-5.4197,0.1156,20.03955,,12.25201399,,-6.7016,0.0597,18.15437,,10.36683399,,1.88518,,,,
1,27,-11.5775,0.0053,13.88175,,6.09421399,,-11.4874,0.0055,13.36857,,5.58103399,,0.51318,,,,
1,28,-5.1825,0.1355,20.27675,,12.48921399,,-7.3657,0.0408,17.49027,,9.70273399,,2.78648,,,,
1,29,-5.5373,0.108,19.92195,,12.13441399,,-6.4261,0.071,18.42987,,10.64233399,,1.49208,,,,
1,30,-8.0628,0.0273,17.39645,,9.60891399,,-8.7775,0.0197,16.07847,,8.29093399,,1.31798,,,,
1,31,-8.0471,0.0284,17.41215,,9.62461399,,-8.6111,0.0214,16.24487,,8.45733399,,1.16728,,,,
1,32,-6.3556,0.0658,19.10365,,11.31611399,,-7.0408,0.0489,17.81517,,10.02763399,,1.28848,,,,
1,33,-5.3515,0.1476,20.10775,,12.32021399,,-5.7622,0.1113,19.09377,,11.30623399,,1.01398,,,,
1,34,-5.1937,0.1342,20.26555,,12.47801399,,-5.5355,0.1293,19.32047,,11.53293399,,0.94508,,,,
