Tile,Source Number,APT_g,APT_error_g,m_g,m_g_error,M_g,M_g_error,APT_i,APT_error_i,m_i,m_i_error,M_i,M_I_error,g-i,,,,
1,183,-7.6422,0.0229,17.3764,,9.58886399,,-8.2693,0.0147,15.6097,,7.82216399,,-1.7667,,,,
1,184,-9.5332,0.0062,15.4854,,7.69786399,,-9.1371,0.0078,14.7419,,6.95436399,,-0.7435,,,,
1,185,-8.0653,0.0147,16.9533,,9.16576399,,-7.7134,0.0188,16.1656,,8.37806399,,-0.7877,,,,
1,186,-9.3556,0.0065,15.663,,7.87546399,,-9.9981,0.0049,13.8809,,6.09336399,,-1.7821,,,,
1,187,-5.308,0.1624,19.7106,,11.92306399,,-5.7104,0.1139,18.1686,,10.38106399,,-1.542,,,,
1,188,-5.8537,0.0792,19.1649,,11.37736399,,-5.1718,0.1462,18.7072,,10.91966399,,-0.4577,,,,
1,189,-8.7725,0.0096,16.2461,,8.45856399,,-8.5721,0.0119,15.3069,,7.51936399,,-0.9392,,,,
1,190,-9.6976,0.0055,15.321,,7.53346399,,-9.6806,0.0058,14.1984,,6.41086399,,-1.1226,,,,
1,191,-7.4679,0.019,17.5507,,9.76316399,,-7.3055,0.0254,16.5735,,8.78596399,,-0.9772,,,,
1,192,-13.0589,0.0011,11.9597,,4.17216399,,-12.3747,0.0016,11.5043,,3.71676399,,-0.4554,,,,
1,193,-5.1824,0.1437,19.8362,,12.04866399,,-5.2414,0.136,18.6376,,10.85006399,,-1.1986,,,,
1,194,-5.4101,0.1532,19.6085,,11.82096399,,-6.1364,0.0808,17.7426,,9.95506399,,-1.8659,,,,
1,195,-6.8664,0.0352,18.1522,,10.36466399,,-6.3161,0.0544,17.5629,,9.77536399,,-0.5893,,,,
1,196,-6.0553,0.0677,18.9633,,11.17576399,,-5.2146,0.1417,18.6644,,10.87686399,,-0.2989,,,,
1,197,-5.7764,0.0859,19.2422,,11.45466399,,-6.2678,0.0576,17.6112,,9.82366399,,-1.631,,,,
1,198,-9.0152,0.0083,16.0034,,8.21586399,,-8.9417,0.0087,14.9373,,7.14976399,,-1.0661,,,,
1,199,-6.5983,0.0434,18.4203,,10.63276399,,-8.268,0.0146,15.611,,7.82346399,,-2.8093,,,,
1,200,-6.2596,0.0721,18.759,,10.97146399,,-5.3254,0.1665,18.5536,,10.76606399,,-0.2054,,,,
1,201,-8.6195,0.0117,16.3991,,8.61156399,,-8.2391,0.0168,15.6399,,7.85236399,,-0.7592,,,,
1,202,-11.0038,0.003,14.0148,,6.22726399,,-11.1923,0.0028,12.6867,,4.89916399,,-1.3281,,,,
2,1,-13.3664,0.001,11.6458,,3.85826399,,-12.961,0.0012,11.2171,,3.42956399,,-0.4287,,,,
2,2,-9.4515,0.0063,15.5607,,7.77316399,,-9.3057,0.0076,14.8724,,7.08486399,,-0.6883,,,,
2,3,-6.022,0.0522,18.9902,,11.20266399,,-5.0516,0.1609,19.1265,,11.33896399,,0.1363,,,,
2,4,-5.3515,0.089,19.6607,,11.87316399,,-3.8777,0.4603,20.3004,,12.51286399,,0.6397,,,,
2,5,-8.2242,0.0135,16.788,,9.00046399,,-7.595,0.0243,16.5831,,8.79556399,,-0.2049,,,,
2,6,-5.376,0.0877,19.6362,,11.84866399,,-4.4892,0.2653,19.6889,,11.90136399,,0.0527,,,,
2,7,-6.8263,0.0357,18.1859,,10.39836399,,-6.4546,0.0383,17.7235,,9.93596399,,-0.4624,,,,
2,8,-9.5711,0.0061,15.4411,,7.65356399,,-8.9105,0.0088,15.2676,,7.48006399,,-0.1735,,,,
2,9,-5.0236,0.1633,19.9886,,12.20106399,,-5.3511,0.1237,18.827,,11.03946399,,-1.1616,,,,
2,10,-6.8423,0.0353,18.1699,,10.38236399,,-6.0625,0.0512,18.1156,,10.32806399,,-0.0543,,,,
2,11,-5.6716,0.0923,19.3406,,11.55306399,,-5.671,0.0931,18.5071,,10.71956399,,-0.8335,,,,
2,12,-6.4072,0.0499,18.605,,10.81746399,,-5.9156,0.075,18.2625,,10.47496399,,-0.3425,,,,
2,13,-5.754,0.0856,19.2582,,11.47066399,,-6.8003,0.0366,17.3778,,9.59026399,,-1.8804,,,,
2,14,-8.0212,0.0151,16.991,,9.20346399,,-7.8933,0.0164,16.2848,,8.49726399,,-0.7062,,,,
2,15,-6.0771,0.065,18.9351,,11.14756399,,-5.6663,0.0932,18.5118,,10.72426399,,-0.4233,,,,
2,16,-5.4009,0.1142,19.6113,,11.82376399,,-4.6415,0.166,19.5366,,11.74906399,,-0.0747,,,,
